timestamp,event_type,link_id,utilisation,delta_utilisation,state,details
1776783737.526524,refractory_entered,0000000000000001:3,0.000000,0.000000,refractory,duration=2.0s
1776783738.030360,trigger_blocked_refractory,0000000000000001:3,0.012340,-0.378869,refractory,link in refractory period
1776783738.534041,trigger_blocked_refractory,0000000000000001:3,0.547345,0.535004,refractory,link in refractory period
1776783739.036708,trigger_blocked_refractory,0000000000000001:3,0.547345,0.535004,refractory,link in refractory period
1776783739.541490,recovery_started,0000000000000001:2,0.000293,0.000000,recovering,util below 0.6
1776783739.541561,spike_detected,0000000000000001:3,0.901436,0.354091,active,util=0.9014 delta=0.3541
1776783739.541578,mitigation_installed,0000000000000001:3,0.901436,0.354091,active,target=path_a expiry=1776783742.542
1776783740.550550,mitigation_cleared_expired,0000000000000001:2,0.000000,0.000000,refractory,entering refractory for 2.0s
1776783740.550598,refractory_entered,0000000000000001:2,0.000000,0.000000,refractory,duration=2.0s
1776783740.551240,recovery_started,0000000000000001:3,0.381640,0.000000,recovering,util below 0.6
1776783741.054708,trigger_blocked_refractory,0000000000000001:2,0.595853,0.595560,refractory,link in refractory period
1776783741.557799,trigger_blocked_refractory,0000000000000001:2,0.643006,0.047153,refractory,link in refractory period
1776783741.557857,mitigation_cleared_recovered,0000000000000001:3,0.000000,0.000000,refractory,entering refractory for 2.0s
1776783741.557874,refractory_entered,0000000000000001:3,0.000000,0.000000,refractory,duration=2.0s
1776783742.062784,trigger_blocked_refractory,0000000000000001:2,0.643006,0.047153,refractory,link in refractory period
1776783742.062847,trigger_blocked_refractory,0000000000000001:3,0.533177,0.151537,refractory,link in refractory period
1776783742.567502,trigger_blocked_refractory,0000000000000001:3,0.891616,0.358439,refractory,link in refractory period
1776783743.070604,trigger_blocked_refractory,0000000000000001:3,0.891616,0.358439,refractory,link in refractory period
1776783745.589129,spike_detected,0000000000000001:2,0.980806,0.510216,active,util=0.9808 delta=0.5102
1776783745.589174,mitigation_installed,0000000000000001:2,0.980806,0.510216,active,target=path_b expiry=1776783748.589
1776783747.684347,recovery_started,0000000000000001:2,0.000385,0.000000,recovering,util below 0.6
1776783748.690423,mitigation_cleared_expired,0000000000000001:2,0.000000,0.000000,refractory,entering refractory for 2.0s
1776783748.690477,refractory_entered,0000000000000001:2,0.000000,0.000000,refractory,duration=2.0s
1776783749.193760,trigger_blocked_refractory,0000000000000001:2,0.000507,0.000122,refractory,link in refractory period
1776783749.697486,trigger_blocked_refractory,0000000000000001:2,0.000593,0.000086,refractory,link in refractory period
1776783750.201434,trigger_blocked_refractory,0000000000000001:2,0.000593,0.000086,refractory,link in refractory period
