timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783728.227054,0000000000000001:2,0.608506,-0.386843,0.425954
1776783728.227073,0000000000000001:3,0.563465,0.551031,0.559735
1776783729.079145,0000000000000002:1,0.009115,-0.000707,0.006381
1776783729.079197,0000000000000002:2,0.335941,-0.274471,0.235158
1776783729.084939,0000000000000004:1,0.923308,0.052032,0.661925
1776783729.084971,0000000000000004:2,0.009114,-0.000705,0.006380
1776783729.084990,0000000000000004:3,0.000134,0.000063,0.000113
1776783729.121722,0000000000000003:1,0.000133,0.000077,0.000116
1776783729.121757,0000000000000003:2,0.619138,0.066668,0.453397
1776783729.235461,0000000000000001:1,0.012337,-0.000836,0.008636
1776783729.235512,0000000000000001:2,0.336395,-0.272111,0.235476
1776783729.235533,0000000000000001:3,0.609905,0.046440,0.440866
1776783730.113752,0000000000000002:1,0.009532,0.000416,0.006797
1776783730.113822,0000000000000002:2,0.999746,0.663805,0.898964
1776783730.119128,0000000000000004:1,0.679409,-0.243899,0.475586
1776783730.119160,0000000000000004:2,0.009536,0.000422,0.006801
1776783730.119179,0000000000000004:3,0.000097,-0.000036,0.000068
1776783730.151311,0000000000000003:1,0.000101,-0.000032,0.000071
1776783730.151346,0000000000000003:2,0.012754,-0.606384,0.008927
1776783730.267186,0000000000000001:1,0.012849,0.000512,0.009148
1776783730.267234,0000000000000001:2,1.000000,0.663605,0.899082
1776783730.267253,0000000000000001:3,0.012692,-0.597213,0.008885
1776783731.117576,0000000000000002:1,0.010038,0.000507,0.007179
1776783731.117634,0000000000000002:2,1.000000,0.000254,0.700076
1776783731.122881,0000000000000004:1,0.680096,0.000687,0.476273
1776783731.130347,0000000000000004:2,0.009969,0.000433,0.007108
1776783731.130381,0000000000000004:3,0.000047,-0.000051,0.000033
1776783731.163035,0000000000000003:1,0.000050,-0.000051,0.000035
1776783731.163068,0000000000000003:2,0.013262,0.000509,0.009436
1776783731.284446,0000000000000001:1,0.013172,0.000324,0.009318
1776783731.284491,0000000000000001:2,0.986704,-0.013296,0.690693
1776783731.284509,0000000000000001:3,0.013120,0.000427,0.009312
1776783732.123046,0000000000000004:1,0.682726,0.002630,0.478697
1776783732.123094,0000000000000004:2,0.009395,-0.000573,0.006577
1776783732.123113,0000000000000004:3,0.000034,-0.000013,0.000024
1776783732.123137,0000000000000002:1,0.009279,-0.000759,0.006495
1776783732.123156,0000000000000002:2,1.000000,0.000000,0.700000
1776783732.160349,0000000000000003:1,0.000037,-0.000013,0.000026
1776783732.160401,0000000000000003:2,0.012384,-0.000878,0.008669
1776783732.287465,0000000000000001:1,0.012403,-0.000769,0.008682
1776783732.287513,0000000000000001:2,1.000000,0.013296,0.703989
1776783732.287533,0000000000000001:3,0.012386,-0.000734,0.008670
1776783733.129582,0000000000000002:1,0.010026,0.000747,0.007242
1776783733.129640,0000000000000002:2,0.999845,-0.000155,0.699891
1776783733.134339,0000000000000004:1,0.676836,-0.005890,0.473785
1776783733.134371,0000000000000004:2,0.009978,0.000582,0.007159
1776783733.134390,0000000000000004:3,0.000030,-0.000004,0.000021
1776783733.167398,0000000000000003:1,0.000033,-0.000004,0.000023
1776783733.167461,0000000000000003:2,0.013408,0.001024,0.009693
1776783733.293160,0000000000000001:1,0.013471,0.001067,0.009750
1776783733.293213,0000000000000001:2,1.000000,0.000000,0.700000
1776783733.293234,0000000000000001:3,0.013435,0.001049,0.009719
