timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783366.183727,0000000000000003:2,0.009983,0.000182,0.007043
1776783366.184099,0000000000000004:1,0.610813,0.597127,0.606707
1776783366.184125,0000000000000004:2,0.009985,0.000175,0.007042
1776783366.184143,0000000000000004:3,0.000429,-0.000046,0.000300
1776783366.310589,0000000000000001:1,0.010288,-0.000018,0.007202
1776783366.310643,0000000000000001:2,0.896185,0.895224,0.895896
1776783366.310664,0000000000000001:3,0.013086,-0.000072,0.009160
1776783367.182496,0000000000000002:1,0.010019,0.000027,0.007021
1776783367.182551,0000000000000002:2,0.500295,0.049411,0.365029
1776783367.182682,0000000000000004:1,0.683561,0.072747,0.500317
1776783367.182708,0000000000000004:2,0.010064,0.000079,0.007069
1776783367.182728,0000000000000004:3,0.000239,-0.000190,0.000167
1776783367.188144,0000000000000003:1,0.000248,-0.000188,0.000173
1776783367.188176,0000000000000003:2,0.009942,-0.000041,0.006959
1776783367.320617,0000000000000001:1,0.010166,-0.000122,0.007116
1776783367.320672,0000000000000001:2,0.993861,0.097676,0.725005
1776783367.320692,0000000000000001:3,0.013125,0.000039,0.009199
1776783368.188557,0000000000000002:1,0.010250,0.000231,0.007244
1776783368.188613,0000000000000002:2,0.499820,-0.000475,0.349874
1776783368.189860,0000000000000003:1,0.000081,-0.000167,0.000056
1776783368.189888,0000000000000003:2,0.010314,0.000373,0.007332
1776783368.215403,0000000000000004:1,0.663677,-0.019884,0.464574
1776783368.215533,0000000000000004:2,0.009981,-0.000083,0.006987
1776783368.215556,0000000000000004:3,0.000078,-0.000161,0.000055
1776783368.351239,0000000000000001:1,0.010054,-0.000112,0.007038
1776783368.351299,0000000000000001:2,0.977433,-0.016427,0.684203
1776783368.351319,0000000000000001:3,0.013375,0.000251,0.009438
1776783369.190359,0000000000000002:1,0.010019,-0.000231,0.007013
1776783369.190415,0000000000000002:2,0.160710,-0.339110,0.112497
1776783369.191010,0000000000000004:1,0.236611,-0.427066,0.165627
1776783369.191056,0000000000000004:2,0.010237,0.000256,0.007242
1776783369.191074,0000000000000004:3,0.000152,0.000073,0.000128
1776783369.196365,0000000000000003:1,0.000144,0.000063,0.000119
1776783369.196397,0000000000000003:2,0.009794,-0.000520,0.006856
1776783369.340442,0000000000000001:1,0.010170,0.000116,0.007154
1776783369.340496,0000000000000001:2,0.322623,-0.654811,0.225836
1776783369.340517,0000000000000001:3,0.013333,-0.000042,0.009333
1776783370.195076,0000000000000002:1,0.009921,-0.000097,0.006945
1776783370.195134,0000000000000002:2,0.000254,-0.160455,0.000178
1776783370.199545,0000000000000004:1,0.013535,-0.223076,0.009475
1776783370.199594,0000000000000004:2,0.009925,-0.000312,0.006947
1776783370.199614,0000000000000004:3,0.000267,0.000115,0.000221
1776783370.209645,0000000000000003:1,0.000269,0.000125,0.000226
1776783370.209679,0000000000000003:2,0.009918,0.000124,0.006980
1776783370.341030,0000000000000001:1,0.010245,0.000075,0.007194
1776783370.341082,0000000000000001:2,0.000524,-0.322099,0.000367
1776783370.341102,0000000000000001:3,0.013428,0.000095,0.009428
1776783371.200862,0000000000000002:1,0.009795,-0.000126,0.006856
1776783371.200921,0000000000000002:2,0.000361,0.000107,0.000285
1776783371.202021,0000000000000004:1,0.013617,0.000082,0.009556
1776783371.202049,0000000000000004:2,0.009827,-0.000097,0.006879
1776783371.202069,0000000000000004:3,0.000375,0.000109,0.000295
1776783371.216548,0000000000000003:1,0.000370,0.000102,0.000290
1776783371.216581,0000000000000003:2,0.009724,-0.000194,0.006807
1776783371.353982,0000000000000001:1,0.010020,-0.000226,0.007014
1776783371.354036,0000000000000001:2,0.000710,0.000186,0.000553
1776783371.354056,0000000000000001:3,0.012875,-0.000553,0.009012
1776783372.208134,0000000000000002:1,0.009730,-0.000064,0.006811
1776783372.208187,0000000000000002:2,0.000467,0.000106,0.000359
1776783372.217466,0000000000000004:1,0.013421,-0.000196,0.009395
1776783372.217501,0000000000000004:2,0.009655,-0.000172,0.006759
1776783372.217523,0000000000000004:3,0.000473,0.000098,0.000361
1776783372.222829,0000000000000003:1,0.000463,0.000093,0.000352
1776783372.222861,0000000000000003:2,0.009797,0.000073,0.006880
1776783372.358557,0000000000000001:1,0.010315,0.000295,0.007309
1776783372.358609,0000000000000001:2,0.000930,0.000220,0.000717
1776783372.358630,0000000000000001:3,0.013145,0.000271,0.009283
1776783373.211542,0000000000000002:1,0.009674,-0.000056,0.006772
1776783373.211597,0000000000000002:2,0.000559,0.000092,0.000419
1776783373.220745,0000000000000004:1,0.013624,0.000203,0.009598
1776783373.220778,0000000000000004:2,0.009685,0.000030,0.006789
1776783373.220798,0000000000000004:3,0.000553,0.000079,0.000411
1776783373.224296,0000000000000003:1,0.000533,0.000070,0.000395
1776783373.224326,0000000000000003:2,0.009672,-0.000125,0.006770
1776783373.362019,0000000000000001:1,0.010112,-0.000203,0.007079
1776783373.362072,0000000000000001:2,0.001132,0.000202,0.000853
1776783373.362092,0000000000000001:3,0.012773,-0.000372,0.008941
1776783374.218721,0000000000000002:1,0.009522,-0.000152,0.006666
1776783374.218775,0000000000000002:2,0.265073,0.264514,0.264905
1776783374.224661,0000000000000004:1,0.363625,0.350001,0.359537
1776783374.224693,0000000000000004:2,0.009543,-0.000142,0.006680
1776783374.224715,0000000000000004:3,0.000525,-0.000027,0.000368
1776783374.229364,0000000000000003:1,0.000565,0.000032,0.000405
1776783374.229396,0000000000000003:2,0.009494,-0.000177,0.006646
1776783374.373121,0000000000000001:1,0.010064,-0.000049,0.007045
1776783374.373179,0000000000000001:2,0.529971,0.528840,0.529632
1776783374.373200,0000000000000001:3,0.012672,-0.000101,0.008870
1776783375.219757,0000000000000002:1,0.009979,0.000457,0.007122
1776783375.219812,0000000000000002:2,0.500704,0.235631,0.421182
1776783375.220636,0000000000000004:1,0.684014,0.320390,0.574927
1776783375.220663,0000000000000004:2,0.010023,0.000480,0.007160
1776783375.220682,0000000000000004:3,0.000255,-0.000270,0.000179
1776783375.230296,0000000000000003:1,0.000248,-0.000317,0.000174
1776783375.230329,0000000000000003:2,0.009899,0.000405,0.007051
1776783375.404083,0000000000000001:1,0.009859,-0.000205,0.006901
1776783375.404140,0000000000000001:2,0.971865,0.441894,0.812874
1776783375.404162,0000000000000001:3,0.012728,0.000056,0.008926
1776783376.225996,0000000000000002:1,0.009974,-0.000005,0.006982
1776783376.226052,0000000000000002:2,0.499741,-0.000963,0.349819
1776783376.231745,0000000000000004:1,0.677187,-0.006827,0.474031
1776783376.231778,0000000000000004:2,0.009926,-0.000097,0.006948
1776783376.231800,0000000000000004:3,0.000090,-0.000166,0.000063
1776783376.235956,0000000000000003:1,0.000094,-0.000155,0.000065
1776783376.235989,0000000000000003:2,0.010013,0.000114,0.007043
1776783376.385801,0000000000000001:1,0.010285,0.000426,0.007327
1776783376.385857,0000000000000001:2,1.000000,0.028135,0.708440
1776783376.385878,0000000000000001:3,0.013626,0.000899,0.009808
1776783377.235609,0000000000000002:1,0.010194,0.000220,0.007201
1776783377.235667,0000000000000002:2,0.499326,-0.000414,0.349528
1776783377.241499,0000000000000004:1,0.679249,0.002062,0.476093
1776783377.241538,0000000000000004:2,0.010192,0.000266,0.007214
1776783377.241558,0000000000000004:3,0.000043,-0.000046,0.000030
1776783377.242385,0000000000000003:1,0.000043,-0.000050,0.000030
1776783377.242413,0000000000000003:2,0.010213,0.000199,0.007209
1776783377.406531,0000000000000001:1,0.010152,-0.000133,0.007106
1776783377.406588,0000000000000001:2,0.989177,-0.010823,0.692424
1776783377.406609,0000000000000001:3,0.013439,-0.000187,0.009407
1776783378.239671,0000000000000002:1,0.010089,-0.000104,0.007063
1776783378.239727,0000000000000002:2,0.500545,0.001218,0.350747
1776783378.240043,0000000000000004:1,0.683566,0.004317,0.479791
1776783378.240069,0000000000000004:2,0.010149,-0.000044,0.007104
1776783378.240087,0000000000000004:3,0.000044,0.000000,0.000031
1776783378.245845,0000000000000003:1,0.000044,0.000000,0.000031
1776783378.245877,0000000000000003:2,0.010085,-0.000127,0.007060
1776783378.406192,0000000000000001:1,0.010147,-0.000005,0.007103
1776783378.406250,0000000000000001:2,1.000000,0.010823,0.703247
1776783378.406271,0000000000000001:3,0.013489,0.000050,0.009458
1776783379.242484,0000000000000002:1,0.010216,0.000126,0.007189
1776783379.242541,0000000000000002:2,0.499853,-0.000692,0.349897
1776783379.243245,0000000000000004:1,0.679974,-0.003592,0.475982
1776783379.243272,0000000000000004:2,0.010212,0.000063,0.007167
1776783379.243292,0000000000000004:3,0.000033,-0.000010,0.000023
1776783379.248478,0000000000000003:1,0.000030,-0.000013,0.000021
1776783379.248510,0000000000000003:2,0.010211,0.000126,0.007185
1776783379.412636,0000000000000001:1,0.010196,0.000048,0.007152
1776783379.412693,0000000000000001:2,0.996101,-0.003899,0.697271
1776783379.412714,0000000000000001:3,0.013554,0.000065,0.009507
1776783380.249611,0000000000000002:1,0.010242,0.000026,0.007177
1776783380.249667,0000000000000002:2,0.499711,-0.000142,0.349798
1776783380.254854,0000000000000004:1,0.677765,-0.002209,0.474436
1776783380.254887,0000000000000004:2,0.010197,-0.000015,0.007138
1776783380.254909,0000000000000004:3,0.000023,-0.000010,0.000016
1776783380.255215,0000000000000003:1,0.000027,-0.000003,0.000019
1776783380.255241,0000000000000003:2,0.010230,0.000019,0.007166
1776783380.420046,0000000000000001:1,0.010199,0.000004,0.007141
1776783380.420104,0000000000000001:2,0.999153,0.003052,0.700323
1776783380.420125,0000000000000001:3,0.013630,0.000076,0.009564
1776783381.252903,0000000000000002:1,0.010214,-0.000028,0.007150
1776783381.252962,0000000000000002:2,0.500204,0.000493,0.350291
1776783381.253191,0000000000000004:1,0.682891,0.005126,0.479562
1776783381.265673,0000000000000004:2,0.010139,-0.000058,0.007097
1776783381.265712,0000000000000004:3,0.000033,0.000010,0.000026
1776783381.271564,0000000000000003:1,0.000033,0.000006,0.000025
1776783381.271597,0000000000000003:2,0.010070,-0.000160,0.007049
1776783381.439661,0000000000000001:1,0.010094,-0.000106,0.007066
1776783381.439718,0000000000000001:2,0.984390,-0.014763,0.689073
1776783381.439740,0000000000000001:3,0.013392,-0.000238,0.009375
1776783382.255676,0000000000000002:1,0.010159,-0.000055,0.007112
1776783382.255732,0000000000000002:2,0.500240,0.000036,0.350179
1776783382.256345,0000000000000004:1,0.680413,-0.002478,0.476289
1776783382.256372,0000000000000004:2,0.010289,0.000150,0.007247
1776783382.256393,0000000000000004:3,0.000041,0.000007,0.000031
1776783382.261634,0000000000000003:1,0.000037,0.000004,0.000027
1776783382.261665,0000000000000003:2,0.010283,0.000213,0.007262
