timestamp,link_id,utilisation,delta_utilisation,queue_proxy
1776783516.382008,0000000000000004:3,0.004979,0.000396,0.003604
1776783516.383434,0000000000000001:1,0.013165,0.000925,0.009493
1776783516.383467,0000000000000001:2,0.215828,0.000487,0.151226
1776783516.383485,0000000000000001:3,0.006618,0.000463,0.004772
1776783516.414559,0000000000000002:1,0.004892,0.000305,0.003516
1776783516.414610,0000000000000002:2,0.213703,-0.001908,0.149592
1776783516.415709,0000000000000003:1,0.004908,0.000293,0.003524
1776783516.415736,0000000000000003:2,0.006516,0.000395,0.004680
1776783517.386609,0000000000000001:1,0.012549,-0.000616,0.008784
1776783517.386660,0000000000000001:2,0.215347,-0.000481,0.150743
1776783517.386680,0000000000000001:3,0.006274,-0.000344,0.004392
1776783517.391665,0000000000000004:1,0.148938,-0.001948,0.104257
1776783517.391694,0000000000000004:2,0.004712,-0.000270,0.003298
1776783517.391712,0000000000000004:3,0.004705,-0.000274,0.003294
1776783517.412804,0000000000000003:1,0.004755,-0.000153,0.003328
1776783517.412836,0000000000000003:2,0.006421,-0.000095,0.004494
1776783517.418116,0000000000000002:1,0.004758,-0.000135,0.003330
1776783517.418146,0000000000000002:2,0.215504,0.001801,0.151393
1776783518.395190,0000000000000001:1,0.012609,0.000060,0.008844
1776783518.395242,0000000000000001:2,0.183357,-0.031990,0.128350
1776783518.395262,0000000000000001:3,0.026360,0.020086,0.024478
1776783518.399112,0000000000000004:1,0.138507,-0.010431,0.096955
1776783518.399141,0000000000000004:2,0.004736,0.000024,0.003322
1776783518.399159,0000000000000004:3,0.004731,0.000026,0.003320
1776783518.425832,0000000000000002:1,0.004711,-0.000046,0.003298
1776783518.425863,0000000000000002:2,0.183785,-0.031720,0.128649
1776783518.454395,0000000000000003:1,0.004526,-0.000229,0.003168
1776783518.454431,0000000000000003:2,0.015770,0.009349,0.013844
1776783519.391511,0000000000000001:1,0.013314,0.000705,0.009532
1776783519.391580,0000000000000001:2,0.009894,-0.173463,0.006926
1776783519.391601,0000000000000001:3,0.145237,0.118877,0.137329
1776783519.392179,0000000000000004:1,0.161502,0.022995,0.119950
1776783519.392221,0000000000000004:2,0.004953,0.000217,0.003533
1776783519.392241,0000000000000004:3,0.005112,0.000381,0.003693
1776783519.424528,0000000000000002:1,0.004992,0.000280,0.003578
1776783519.424564,0000000000000002:2,0.009911,-0.173873,0.006938
1776783519.483962,0000000000000003:1,0.004728,0.000202,0.003370
1776783519.484013,0000000000000003:2,0.148653,0.132883,0.143922
1776783520.393625,0000000000000001:1,0.012062,-0.001253,0.008443
1776783520.393698,0000000000000001:2,0.009073,-0.000822,0.006351
1776783520.393718,0000000000000001:3,0.143566,-0.001671,0.100496
1776783520.398131,0000000000000004:1,0.148996,-0.012506,0.104297
1776783520.398161,0000000000000004:2,0.004536,-0.000417,0.003175
1776783520.398179,0000000000000004:3,0.004513,-0.000600,0.003159
1776783520.426510,0000000000000002:1,0.004524,-0.000468,0.003167
1776783520.426543,0000000000000002:2,0.009088,-0.000824,0.006361
1776783520.484629,0000000000000003:1,0.004540,-0.000188,0.003178
1776783520.484662,0000000000000003:2,0.143759,-0.004894,0.100631
1776783521.406197,0000000000000001:1,0.013188,0.001127,0.009570
1776783521.406250,0000000000000001:2,0.009856,0.000783,0.007134
1776783521.406269,0000000000000001:3,0.048573,-0.094993,0.034001
1776783521.411676,0000000000000004:1,0.057160,-0.091835,0.040012
1776783521.411706,0000000000000004:2,0.004994,0.000458,0.003633
1776783521.411725,0000000000000004:3,0.004930,0.000417,0.003576
1776783521.433270,0000000000000002:1,0.005045,0.000522,0.003688
1776783521.433301,0000000000000002:2,0.009919,0.000831,0.007193
1776783521.546222,0000000000000003:1,0.004706,0.000167,0.003345
1776783521.546275,0000000000000003:2,0.047698,-0.096061,0.033389
1776783522.415030,0000000000000001:1,0.012088,-0.001100,0.008462
1776783522.415127,0000000000000001:2,0.009099,-0.000757,0.006369
1776783522.415146,0000000000000001:3,0.006070,-0.042503,0.004249
1776783522.419590,0000000000000004:1,0.012094,-0.045066,0.008466
1776783522.419619,0000000000000004:2,0.004554,-0.000440,0.003188
1776783522.419637,0000000000000004:3,0.004550,-0.000379,0.003185
1776783522.446017,0000000000000002:1,0.004499,-0.000547,0.003149
1776783522.446048,0000000000000002:2,0.009011,-0.000908,0.006308
1776783522.502414,0000000000000003:1,0.004768,0.000062,0.003356
1776783522.502456,0000000000000003:2,0.006358,-0.041340,0.004451
1776783523.416719,0000000000000004:1,0.346209,0.334115,0.342581
1776783523.416781,0000000000000004:2,0.004614,0.000061,0.003248
1776783523.416800,0000000000000004:3,0.004599,0.000049,0.003234
1776783523.420338,0000000000000001:1,0.012150,0.000062,0.008523
1776783523.420379,0000000000000001:2,0.177658,0.168559,0.174928
1776783523.420400,0000000000000001:3,0.229856,0.223786,0.228035
1776783523.435054,0000000000000002:1,0.004666,0.000167,0.003316
1776783523.435118,0000000000000002:2,0.179143,0.170132,0.176439
1776783523.512236,0000000000000003:1,0.004535,-0.000233,0.003175
1776783523.512289,0000000000000003:2,0.228795,0.222437,0.226888
1776783524.368826,0000000000000002:1,0.006664,0.001998,0.005264
1776783524.368875,0000000000000002:2,1.000000,0.820857,0.946257
1776783524.373012,0000000000000004:1,0.707516,0.361307,0.603654
1776783524.373041,0000000000000004:2,0.006167,0.001552,0.004782
1776783524.373058,0000000000000004:3,0.004048,-0.000552,0.002833
1776783524.459163,0000000000000003:1,0.004631,0.000095,0.003270
1776783524.459215,0000000000000003:2,0.007972,-0.220823,0.005580
1776783524.475143,0000000000000001:1,0.012614,0.000465,0.008969
